date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:06:23	110/110	---M-Z	200	added ('OK')	text/plain	date:Wed,%2015%20Apr%202020%2018:06:26%20GMT	https://www.vapropertygroup.com.au/robots.txt		(from )
00:06:23	142370/142370	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2018:06:26%20GMT	https://www.vapropertygroup.com.au/	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/index.html	(from )
00:06:24	16337/16337	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2015%20Apr%202020%2018:06:28%20GMT	https://www.vapropertygroup.com.au/runtime-service-worker.js?v=2	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/f5e1f.txt	(from https://www.vapropertygroup.com.au/)
00:06:26	172/172	---MC-	200	added ('Not%20Acceptable')	text/html	date:Wed,%2015%20Apr%202020%2018:06:29%20GMT	https://www.vapropertygroup.com.au/_dm/s/rt/actions/cacheKey	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/_dm/s/rt/actions/cacheKey.html	(from https://www.vapropertygroup.com.au/)
00:06:27	172/172	---MC-	200	added ('Not%20Acceptable')	text/html	date:Wed,%2015%20Apr%202020%2018:06:30%20GMT	https://www.vapropertygroup.com.au//feed/rss2	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/feed/rss2.html	(from https://www.vapropertygroup.com.au/)
00:06:28	172/172	---MC-	200	added ('Not%20Acceptable')	text/html	date:Wed,%2015%20Apr%202020%2018:06:31%20GMT	https://www.vapropertygroup.com.au//feed/atom	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/feed/atom.html	(from https://www.vapropertygroup.com.au/)
00:06:29	102001/102001	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2018:06:32%20GMT	https://www.vapropertygroup.com.au/our-story	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/our-story.html	(from https://www.vapropertygroup.com.au/)
00:06:30	93186/93186	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2018:06:33%20GMT	https://www.vapropertygroup.com.au/our-services	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/our-services.html	(from https://www.vapropertygroup.com.au/)
00:06:31	122886/122886	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2018:06:34%20GMT	https://www.vapropertygroup.com.au/contact	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/contact.html	(from https://www.vapropertygroup.com.au/)
00:06:32	4689/4689	---M--	200	added ('OK')	image/png	etag:%226e2159e432cd09f65f60cb9dac5d30ac%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/B+76387_JPL2_cropped-480w.png	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/B+76387_JPL2_cropped-480w.png	(from https://www.vapropertygroup.com.au/)
00:06:33	4689/4689	---M--	200	added ('OK')	image/png	etag:%226e2159e432cd09f65f60cb9dac5d30ac%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/B+76387_JPL2_cropped-340w.png	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/B+76387_JPL2_cropped-340w.png	(from https://www.vapropertygroup.com.au/)
00:06:35	66634/66634	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2018:06:38%20GMT	https://www.vapropertygroup.com.au/schedule-an-appointment	T:/VA%20PROPERTY/new/www.vapropertygroup.com.au/schedule-an-appointment.html	(from https://www.vapropertygroup.com.au/)
